SCHEDULE_NUMBER,CERTIFICATE_NUMBER,ISSUE_DATE,SUBTAX,REDEMPTION_DATE,TAX_YEAR,PRINCIPAL,INTEREST,PREMIUMBIDFEE,TREASURERDEEDFEE
1048023,72936,08/06/10,Y,12/30/10,2009,257.77,16.11,0,0
1048015,72937,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1048015,72937,08/15/08,Y,12/30/10,2007,256.79,93.09,0,0
1048015,72937,09/28/09,Y,12/30/10,2008,257.62,51.52,0,0
1048015,72937,08/06/10,Y,12/30/10,2009,257.77,16.11,0,0
1048007,72938,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1048007,72938,08/15/08,Y,12/30/10,2007,256.79,93.09,0,0
1048007,72938,09/28/09,Y,12/30/10,2008,257.62,51.52,0,0
1048007,72938,08/06/10,Y,12/30/10,2009,257.77,16.11,0,0
1047990,72939,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1047990,72939,08/15/08,Y,12/30/10,2007,256.79,93.09,0,0
1047990,72939,09/28/09,Y,12/30/10,2008,257.62,51.52,0,0
1047990,72939,08/06/10,Y,12/30/10,2009,257.77,16.11,0,0
1047981,72940,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1047981,72940,08/15/08,Y,12/30/10,2007,256.79,93.09,0,0
1047981,72940,09/28/09,Y,12/30/10,2008,257.62,51.52,0,0
1047981,72940,08/06/10,Y,12/30/10,2009,257.77,16.11,0,0
1047973,72941,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047965,72942,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047957,72943,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1047949,72944,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049771,72945,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049763,72946,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049755,72947,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049747,72948,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049682,72949,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049674,72950,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049666,72951,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049658,72952,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049640,72953,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049640,72953,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049640,72953,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049640,72953,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1048040,72954,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1048040,72954,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1048040,72954,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1048040,72954,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049887,72955,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049887,72955,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049887,72955,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049887,72955,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049879,72956,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049879,72956,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049879,72956,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049879,72956,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049852,72957,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049852,72957,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049852,72957,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049852,72957,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049844,72958,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049844,72958,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049844,72958,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049844,72958,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049836,72959,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049836,72959,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049836,72959,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049836,72959,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049828,72960,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049828,72960,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049828,72960,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049828,72960,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049810,72961,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049810,72961,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049810,72961,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049810,72961,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049801,72962,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049801,72962,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049801,72962,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049801,72962,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049798,72963,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049798,72963,08/22/08,Y,12/30/10,2007,256.79,93.09,0,0
1049798,72963,08/17/09,Y,12/30/10,2008,255.21,54.23,0,0
1049798,72963,08/30/10,Y,12/30/10,2009,257.77,16.11,0,0
1049780,72964,11/14/07,N,08/07/08,2006,87.95,10.99,0,0
1049984,72965,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049984,72965,08/12/08,Y,12/30/10,2007,256.79,93.09,0,0
1049984,72965,08/04/09,Y,12/30/10,2008,255.21,54.23,0,0
1049984,72965,08/27/10,Y,12/30/10,2009,257.77,16.11,0,0
1049976,72966,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049976,72966,08/12/08,Y,12/30/10,2007,256.79,93.09,0,0
1049976,72966,08/04/09,Y,12/30/10,2008,255.21,54.23,0,0
1049976,72966,08/27/10,Y,12/30/10,2009,257.77,16.11,0,0
1049968,72967,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049968,72967,08/12/08,Y,12/30/10,2007,256.79,93.09,0,0
1049968,72967,08/04/09,Y,12/30/10,2008,255.21,54.23,0,0
1049968,72967,08/27/10,Y,12/30/10,2009,257.77,16.11,0,0
1049950,72968,11/14/07,N,12/30/10,2006,87.95,41.78,0,0
1049950,72968,08/12/08,Y,12/30/10,2007,256.79,93.09,0,0
1049950,72968,08/04/09,Y,12/30/10,2008,255.21,54.23,0,0
